rte_consumption_scenario,rte_production_scenario,ssp_scenario,iam_model,iam_scenario,gmst,year,lcia_method,impact,impact_unit,process,absolute_lca,contrib_absolute_lca,contrib_lca_ratio,absolute_lca_per_kwh,contrib_absolute_lca_per_kwh
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, freshwater use, global",FWU,km3 yr-1,Other life cycle contributions,0.72956405499999999,0.049929983880926218,0.068438108400126998,1.038673198825611e-12,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, freshwater use, global",FWU,km3 yr-1,Transmission corona,0.72956405499999999,0,0,1.038673198825611e-12,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, freshwater use, global",FWU,km3 yr-1,"electricity production, hydro, reservoir, alpine region",0.72956405499999999,0.24900508632487581,0.34130668118630902,1.038673198825611e-12,3.0195998013995159e-11
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, freshwater use, global",FWU,km3 yr-1,"electricity production, photovoltaic",0.72956405499999999,0.10110655360452291,0.1385848890328388,1.038673198825611e-12,4.5764112817882531e-13
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, freshwater use, global",FWU,km3 yr-1,"electricity production, wind, 1-3MW turbine, offshore",0.72956405499999999,0.04263633356692681,0.058440836379921167,1.038673198825611e-12,2.3244655820584777e-13
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, freshwater use, global",FWU,km3 yr-1,"electricity production, wind, 1-3MW turbine, onshore",0.72956405499999999,0,0,1.038673198825611e-12,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, freshwater use, global",FWU,km3 yr-1,"heat and power co-generation, wood chips, 6667 kW",0.72956405499999999,0,0,1.038673198825611e-12,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, land-system change, global",LSC,%,EU electricity market imports,1.61e-06,8.225394755341411e-07,0.51089408418269633,2.2879720837337331e-18,8.0833023321322979e-18
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, land-system change, global",LSC,%,Other life cycle contributions,1.61e-06,6.2110189481681673e-08,0.038577757442038313,2.2879720837337331e-18,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, land-system change, global",LSC,%,Transmission corona,1.61e-06,0,0,2.2879720837337331e-18,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, land-system change, global",LSC,%,"electricity production, hydro, reservoir, alpine region",1.61e-06,0,0,2.2879720837337331e-18,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, land-system change, global",LSC,%,"electricity production, photovoltaic",1.61e-06,2.3878697334909676e-07,0.14831489027894207,2.2879720837337331e-18,1.0788615605024591e-18
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, land-system change, global",LSC,%,"electricity production, wind, 1-3MW turbine, offshore",1.61e-06,0,0,2.2879720837337331e-18,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, land-system change, global",LSC,%,"electricity production, wind, 1-3MW turbine, onshore",1.61e-06,0,0,2.2879720837337331e-18,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, land-system change, global",LSC,%,"heat and power co-generation, wood chips, 6667 kW",1.61e-06,4.8656336163508074e-07,0.30221326809632343,2.2879720837337331e-18,6.0387002415531847e-17
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ocean acidification, carbonate ion concentration",OA,aragonite saturation,EU electricity market imports,0.0021409599999999999,0.0015960850566451021,0.74549970884327699,3.048063213178535e-15,1.5713707878013217e-14
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ocean acidification, carbonate ion concentration",OA,aragonite saturation,Other life cycle contributions,0.0021409599999999999,0.00019043189188383555,0.088946963924517772,3.048063213178535e-15,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ocean acidification, carbonate ion concentration",OA,aragonite saturation,Transmission corona,0.0021409599999999999,0,0,3.048063213178535e-15,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ocean acidification, carbonate ion concentration",OA,aragonite saturation,"electricity production, hydro, reservoir, alpine region",0.0021409599999999999,0,0,3.048063213178535e-15,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ocean acidification, carbonate ion concentration",OA,aragonite saturation,"electricity production, photovoltaic",0.0021409599999999999,0.0002123125348558369,0.099166978764590144,3.048063213178535e-15,9.609953699601912e-16
