rte_consumption_scenario,rte_production_scenario,lcia_method,impact,impact_unit,year,value
reference,n03,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2021,0.042885379757107399
reference,n03,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2022,0.0426693229068787
reference,n03,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2023,0.042447350052355899
reference,n03,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2024,0.0422194611935389
reference,n03,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2025,0.041985656330427702
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2019,8.1359316794433491e-05
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2020,8.2979961349408885e-05
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2021,8.4614389886497179e-05
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2022,8.6262602405698412e-05
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2023,8.7924598907012492e-05
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2024,8.9600379390439552e-05
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2025,9.1289943855979485e-05
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2019,8.1359316794433491e-05
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2020,8.2847521856662065e-05
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2021,8.434789037334894e-05
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2022,8.5860422344494224e-05
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2023,8.7385117770097905e-05
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2024,8.8921976650159872e-05
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2025,9.047099898468029e-05
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2019,8.1359316794433491e-05
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2020,8.2847521856662065e-05
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2021,8.434789037334894e-05
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2022,8.5860422344494224e-05
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2023,8.7385117770097905e-05
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2024,8.8921976650159872e-05
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2025,9.047099898468029e-05
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2019,8.1359316794433491e-05
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2020,8.2847521856662065e-05
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2021,8.434789037334894e-05
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2022,8.5860422344494224e-05
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2023,8.7385117770097905e-05
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2024,8.8921976650159872e-05
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2025,9.047099898468029e-05
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2019,8.1359316794433491e-05
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2020,8.2847521856662065e-05
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2021,8.434789037334894e-05
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2022,8.5860422344494224e-05
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2023,8.7385117770097905e-05
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2024,8.8921976650159872e-05
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2025,9.047099898468029e-05
reference,n03,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2019,8.1359316794433491e-05
reference,n03,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2020,8.2572904811986059e-05
reference,n03,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,2021,8.3795256185031122e-05
