rte_consumption_scenario,rte_production_scenario,ssp_scenario,iam_model,iam_scenario,gmst,lcia_method,impact,impact_unit,year,value
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2056,8431775875
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2057,8360829308
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2058,8289791688
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2059,8218663016
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2060,8147443291
reference,n03,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2026,23767186908
reference,n03,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2027,22494692267
reference,n03,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2028,21205321563
reference,n03,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2029,19899074795
reference,n03,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2030,18575951964
