country,sector,year,summary_level,fu_ratio,ratio_label,row_count,ratio_count,num_zero_den_positive_count,mean,p5,p25,p50,p75,p95
US,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.5036996461321462,0.24431039007332866,0.3407482640792654,0.5880556752637391,0.6430264031650459,0.6804232848840929
US,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.25312469509014335,0.0577913290104529,0.06954429725650055,0.1858712892159025,0.44701972912838317,0.5200439438867167
WA,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.7032963549295154,0.30001131642290935,0.6960423923203378,0.7476603536420423,0.838180046543652,0.895829455535655
WA,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.6840131197011808,0.5368006766478082,0.6812030916082854,0.7219174072788754,0.7440211464317139,0.7488718948221519
WA,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.7225795901578497,0.24313957791206645,0.7861476866280817,0.8517552593044898,0.8896761724842376,0.897538202534806
WE,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.5191974898415109,0.30139668243234147,0.4993744832976727,0.5170087083923892,0.5958581312407152,0.6985634542071822
WE,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.5042112481460793,0.4875624544701449,0.4945877897691684,0.5065185853974469,0.5113638470772143,0.5198153879926024
WE,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.5341837315369424,0.18940960258365333,0.5464338374934055,0.5971655360755845,0.6485494771795801,0.7210685207957489
WF,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.5205467684086621,0.31672021444597503,0.5062148999441192,0.5459139696025986,0.5879123882901824,0.6296973846142054
WF,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.598127962350184,0.5682149679802988,0.5818415151317894,0.5881825471593636,0.5898122858064123,0.6560453569508039
WF,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.4429655744671406,0.25529750668724127,0.4275214638380341,0.49865094232938256,0.5184557689193815,0.5256366571923348
WL,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.4742651528080124,0.2428581763793444,0.3883824600735424,0.48171959284928706,0.6044038875310399,0.651355629457035
WL,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.4394531623787438,0.38287130510267486,0.38548728934964177,0.3910258231050626,0.3957290507975384,0.617660238547646
WL,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.509077143237281,0.19579052128189386,0.571185988530235,0.5939951161269719,0.6074731969667092,0.6162895308064407
WM,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.6698838277186777,0.4264711190474426,0.674504837317048,0.7029408672646522,0.7569492864366159,0.7845514763026626
WM,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.7524464573176762,0.7080642095834648,0.7320237745455584,0.7571220788027145,0.7618141555984531,0.7987438029802376
WM,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.5873211981196792,0.2969467922995024,0.6214008656608108,0.6574467699230935,0.6950500576246649,0.7013434188051281
ZA,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.17514561159637532,0.08642182408590769,0.16753708894856467,0.18751124852576187,0.2028660807518929,0.22732464370930097
ZA,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.16996641104477936,0.114153569400928,0.14474063001690277,0.18128885111952425,0.19363995343765736,0.21360456502476063
ZA,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.18032481214797128,0.08987616020881237,0.1825708790909813,0.19316767047064873,0.21302515180086984,0.23249252498006756
AT,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9391442824304354,0.6652935533673944,1.0,1.0,1.0,1.0
AT,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.888431184455798,0.49794033005109156,1.0,1.0,1.0,1.0
AT,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
AU,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9200841795967366,0.5604629877820511,1.0,1.0,1.0,1.0
AU,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.853487662594017,0.3406944816730767,1.0,1.0,1.0,1.0
AU,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
BE,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9223369818043924,0.5728533999241581,1.0,1.0,1.0,1.0
BE,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8576177999747193,0.35928009988623716,1.0,1.0,1.0,1.0
BE,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
BG,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9299582220634289,0.6147702213488597,1.0,1.0,1.0,1.0
BG,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8715900737829533,0.4221553320232896,1.0,1.0,1.0,1.0
BG,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
BR,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9173802798919329,0.5455915394056308,1.0,1.0,1.0,1.0
